Año,Especie,Puerto,Desembarques
1992.0,Atun aleta amarilla,Mar del Plata,0.9
1998.0,Atun aleta amarilla,Mar del Plata,0.5
2004.0,Atun aleta amarilla,Mar del Plata,326.7
2009.0,Atun aleta amarilla,Mar del Plata,5.0
1989.0,Atun aleta azul,Mar del Plata,0.0
1990.0,Atun aleta azul,Mar del Plata,1.9
1991.0,Atun aleta azul,Mar del Plata,0.1
2005.0,Atun aleta azul,Mar del Plata,0.0
1989.0,Atun barrilete,Mar del Plata,116.2
1990.0,Atun barrilete,Mar del Plata,106.0
1991.0,Atun barrilete,Mar del Plata,292.1
1992.0,Atun barrilete,Mar del Plata,123.1
1993.0,Atun barrilete,Mar del Plata,49.7
1994.0,Atun barrilete,Mar del Plata,0.6
1996.0,Atun barrilete,Mar del Plata,0.6
1998.0,Atun barrilete,Mar del Plata,1.6
2000.0,Atun barrilete,Mar del Plata,0.0
2001.0,Atun barrilete,Mar del Plata,0.1
2004.0,Atun barrilete,Mar del Plata,29.8
2006.0,Atun barrilete,Mar del Plata,0.1
2009.0,Atun barrilete,Mar del Plata,3.0
2010.0,Atun barrilete,Mar del Plata,11.9
2011.0,Atun barrilete,Mar del Plata,0.0
1989.0,Atun ojo grande,Mar del Plata,0.0
1990.0,Atun ojo grande,Mar del Plata,23.5
1991.0,Atun ojo grande,Mar del Plata,20.7
1989.0,Atunes nep,Mar del Plata,31.9
1990.0,Atunes nep,Mar del Plata,0.8
1991.0,Atunes nep,Mar del Plata,5.7
1992.0,Atunes nep,Mar del Plata,0.0
1993.0,Atunes nep,Mar del Plata,2.0
1996.0,Atunes nep,Mar del Plata,0.0
1998.0,Atunes nep,Mar del Plata,20.0
2004.0,Atunes nep,Mar del Plata,41.6
2005.0,Atunes nep,Mar del Plata,0.0
2006.0,Atunes nep,Mar del Plata,16.0
2007.0,Atunes nep,Mar del Plata,0.0
2009.0,Atunes nep,Mar del Plata,0.2
2010.0,Atunes nep,Mar del Plata,121.3
2011.0,Atunes nep,Mar del Plata,0.3
2012.0,Atunes nep,Mar del Plata,0.7
2016.0,Atunes nep,Mar del Plata,0.0
1989.0,Bacalao austral,Mar del Plata,415.2
1990.0,Bacalao austral,Mar del Plata,568.1
1991.0,Bacalao austral,Mar del Plata,410.5
1992.0,Bacalao austral,Mar del Plata,368.9
1993.0,Bacalao austral,Mar del Plata,319.9
1994.0,Bacalao austral,Mar del Plata,150.6
1995.0,Bacalao austral,Mar del Plata,204.2
1996.0,Bacalao austral,Mar del Plata,338.5
1997.0,Bacalao austral,Mar del Plata,323.2
1998.0,Bacalao austral,Mar del Plata,1278.7
1999.0,Bacalao austral,Mar del Plata,1706.0
2000.0,Bacalao austral,Mar del Plata,1683.2
2001.0,Bacalao austral,Mar del Plata,1861.7
2002.0,Bacalao austral,Mar del Plata,426.9
2003.0,Bacalao austral,Mar del Plata,628.0
2004.0,Bacalao austral,Mar del Plata,388.3
2005.0,Bacalao austral,Mar del Plata,649.3
2006.0,Bacalao austral,Mar del Plata,498.5
2007.0,Bacalao austral,Mar del Plata,913.0
2008.0,Bacalao austral,Mar del Plata,1309.3
2009.0,Bacalao austral,Mar del Plata,496.3
2010.0,Bacalao austral,Mar del Plata,1269.4
2011.0,Bacalao austral,Mar del Plata,629.3
2012.0,Bacalao austral,Mar del Plata,383.9
2013.0,Bacalao austral,Mar del Plata,758.2270000000001
2014.0,Bacalao austral,Mar del Plata,624.1
2015.0,Bacalao austral,Mar del Plata,401.62600000000003
2016.0,Bacalao austral,Mar del Plata,486.23699999999997
2017.0,Bacalao austral,Mar del Plata,366.19
2018.0,Bacalao austral,Mar del Plata,169.4
2019.0,Bacalao austral,Mar del Plata,105.86299999999997
2020.0,Bacalao austral,Mar del Plata,103.98500000000014
1989.0,Bagre,Mar del Plata,4.8
1990.0,Bagre,Mar del Plata,11.9
1991.0,Bagre,Mar del Plata,10.7
1992.0,Bagre,Mar del Plata,2.9
1993.0,Bagre,Mar del Plata,2.4
1994.0,Bagre,Mar del Plata,18.2
1995.0,Bagre,Mar del Plata,5.3
1996.0,Bagre,Mar del Plata,6.0
1997.0,Bagre,Mar del Plata,12.9
1998.0,Bagre,Mar del Plata,4.8
1999.0,Bagre,Mar del Plata,4.7
2000.0,Bagre,Mar del Plata,4.5
2001.0,Bagre,Mar del Plata,19.9
2002.0,Bagre,Mar del Plata,26.8
2003.0,Bagre,Mar del Plata,18.8
2004.0,Bagre,Mar del Plata,13.3
2005.0,Bagre,Mar del Plata,28.9
2006.0,Bagre,Mar del Plata,36.2
2007.0,Bagre,Mar del Plata,32.4
2008.0,Bagre,Mar del Plata,38.2
2009.0,Bagre,Mar del Plata,48.4
2010.0,Bagre,Mar del Plata,75.8
2011.0,Bagre,Mar del Plata,48.9
2012.0,Bagre,Mar del Plata,35.4
2013.0,Bagre,Mar del Plata,10.638
2014.0,Bagre,Mar del Plata,31.8
2015.0,Bagre,Mar del Plata,21.261
2016.0,Bagre,Mar del Plata,5.888
2017.0,Bagre,Mar del Plata,6.36
2018.0,Bagre,Mar del Plata,30.9
2019.0,Bagre,Mar del Plata,9.879999999999999
2020.0,Bagre,Mar del Plata,4.393
2015.0,Bathyraja,Mar del Plata,0.0
1994.0,Berberecho,Mar del Plata,1.9
1997.0,Berberecho,Mar del Plata,1.0
2000.0,Berberecho,Mar del Plata,0.0
2001.0,Berberecho,Mar del Plata,0.0
2002.0,Berberecho,Mar del Plata,0.0
2005.0,Berberecho,Mar del Plata,10.8
2006.0,Berberecho,Mar del Plata,0.0
2007.0,Berberecho,Mar del Plata,11.9
2010.0,Berberecho,Mar del Plata,2.2
1989.0,Besugo,Mar del Plata,5640.1
1990.0,Besugo,Mar del Plata,2921.2
1991.0,Besugo,Mar del Plata,2864.2
1992.0,Besugo,Mar del Plata,2640.9
1993.0,Besugo,Mar del Plata,1237.8
1994.0,Besugo,Mar del Plata,1163.7
1995.0,Besugo,Mar del Plata,1146.8
1996.0,Besugo,Mar del Plata,1493.6
1997.0,Besugo,Mar del Plata,980.7
1998.0,Besugo,Mar del Plata,566.5
1999.0,Besugo,Mar del Plata,2318.3
2000.0,Besugo,Mar del Plata,1257.5
2001.0,Besugo,Mar del Plata,919.9
2002.0,Besugo,Mar del Plata,890.8
2003.0,Besugo,Mar del Plata,1802.7
2004.0,Besugo,Mar del Plata,2288.1
2005.0,Besugo,Mar del Plata,2758.0
2006.0,Besugo,Mar del Plata,4697.6
2007.0,Besugo,Mar del Plata,4263.1
2008.0,Besugo,Mar del Plata,6530.6
2009.0,Besugo,Mar del Plata,7042.3
